horizon,eval_rows,strong_score,strong_wape,strong_rbias,primitive_score,primitive_wape,primitive_rbias,ml_score_from_train,ml_wape,ml_rbias,ml_score,ml_vs_strong_delta_score,ml_vs_primitive_delta_score,proxy_rows,proxy_y_sum,proxy_wins,proxy_ties,proxy_ml_abs_err_sum,proxy_strong_abs_err_sum,proxy_gap_abs_err_sum,proxy_loss_abs_sum,proxy_gain_abs_sum,proxy_win_rate,proxy_tie_rate,proxy_expected_loss_abs_mean,proxy_delta_abs_err_mean,proxy_expected_loss_wape_like
1,335000,0.2874298370369858,0.2805163416908952,0.0069134953460906,0.3792784409468389,0.3312032310284198,0.048075209918419,0.1435841708270282,0.1430716841938039,0.0005124866332242,0.1435841708270281,-0.14384566620995773,-0.23569427011981078,335000,24454381.0,244797,5365,3125673.1881133774,6859853.496435335,-3734180.3083219575,631721.0094460167,4365901.317767974,0.7307373134328358,0.01601492537313433,1.8857343565552738,-11.146806890513306,0.02583263135738405
2,334000,0.2924554130540412,0.2855000078181445,0.0069554052358967,0.383493693038603,0.3356078080361708,0.0478858850024321,0.200311345209045,0.1997342511802311,0.0005770940288138,0.2003113452090449,-0.09214406784499632,-0.18318234782955808,334000,24385594.0,231453,5351,4187425.171965625,6962087.277650097,-2774662.1056844722,748636.6489985194,3523298.7546829917,0.6929730538922155,0.016020958083832335,2.2414270928099382,-8.307371573905606,0.030699955432642707
3,333000,0.2974117464833977,0.2904669236300749,0.0069448228533227,0.3887119575592924,0.3410571645344017,0.0476547930248907,0.2399858277021551,0.2397988281779353,0.0001869995242198,0.2399858277021551,-0.05742591878124259,-0.1487261298571373,333000,24315146.0,215276,5339,5228059.861692948,7062745.656236121,-1834685.7945431736,824063.6868751019,2658749.4814182757,0.6464744744744745,0.016033033033033033,2.4746657263516574,-5.509566950580101,0.033890961908067584
4,332000,0.3013097814191035,0.2944104776454283,0.0068993037736752,0.3944589136275092,0.3469607097912902,0.0474982038362189,0.2662640935468389,0.2661833057447446,8.078780209430647e-05,0.2662640935468389,-0.035045687872264586,-0.1281948200806703,332000,24241943.0,202840,5317,5927177.731396848,7137082.017683247,-1209904.286286399,826820.5901443808,2036724.87643078,0.6109638554216867,0.016015060240963854,2.490423464290304,-3.6442900189349365,0.03410702641056374
5,331000,0.3037773016476794,0.2969908672920812,0.0067864343555982,0.3990459689517228,0.3517247573957661,0.0473212115559567,0.2698416958050006,0.2697354719687409,0.0001062238362596,0.2698416958050005,-0.033935605842678906,-0.12920427314672228,331000,24167138.0,199119,5300,6082303.522600557,7177419.274587413,-1095115.7519868566,832467.2117823252,1927582.9637691819,0.6015679758308157,0.016012084592145016,2.5150066821218284,-3.3085068035856695,0.034446247287631876
6,330000,0.3055046857260461,0.2989491110308426,0.0065555746952035,0.4023758058648414,0.3553616962667248,0.0470141095981165,0.271522386096223,0.2713822283792497,0.0001401577169732,0.2715223860962228,-0.0339822996298233,-0.13085341976861858,330000,24090268.0,197595,5218,6122502.248831799,7201764.203094756,-1079261.9542629565,850851.5057316544,1930113.4599946109,0.5987727272727272,0.01581212121212121,2.5783378961565284,-3.2704907704938075,0.035319304282196214
7,329000,0.30722767983546,0.3009432819384994,0.0062843978969606,0.4054191320548234,0.3587242371891678,0.0466948948656555,0.2721358389961046,0.2720327859221681,0.0001030530739365,0.2721358389961046,-0.035091840839355404,-0.13328329305871878,329000,24012277.0,196048,5182,6202181.569488667,7226333.447196344,-1024151.8777076772,863068.278940001,1887220.1566476782,0.5958905775075988,0.01575075987841945,2.6233078387234072,-3.1129236404488667,0.03594279205341505
8,328000,0.3088502510601721,0.302943241478517,0.0059070095816551,0.4077887197103209,0.3615610755226232,0.0462276441876977,0.2730600289745422,0.2726999858264553,0.0003600431480869,0.2730600289745422,-0.03579022208562993,-0.1347286907357787,328000,23931584.0,193793,5255,6216547.514178663,7249911.630675415,-1033364.116496752,896693.2137838854,1930057.3302806374,0.5908323170731707,0.016021341463414634,2.733820773731358,-3.1505003551730244,0.03746902895286352
9,327000,0.3102615467494714,0.3048493487287542,0.0054121980207171,0.4102482436237471,0.3646222445545658,0.0456259990691813,0.273057130287612,0.2727474255916898,0.0003097046959221,0.2730571302876119,-0.03720441646185946,-0.1371911133361352,327000,23847823.0,192922,3991,6260572.155632971,7269993.310148606,-1009421.1545156353,910735.0842429207,1920156.238758556,0.5899755351681957,0.012204892966360856,2.785122581782632,-3.0869148456135638,0.03818944329815433
10,326000,0.3121006064018523,0.3071766073750251,0.0049239990268271,0.4129059069961167,0.3677872268477283,0.0451186801483883,0.2738340452733108,0.2736207905447367,0.000213254728574,0.2738340452733107,-0.0382665611285416,-0.139071861722806,326000,23764126.0,193720,5224,6225345.56014581,7299783.601912627,-1074438.0417668165,915769.4114457212,1990207.4532125378,0.5942331288343559,0.016024539877300615,2.809108624066629,-3.2958222140086395,0.03853579178319965
