variant,rows,mean_score,win_rate,brier,logloss,auc_binned,expected_loss_wape_like,auto_threshold,auto_rows,auto_share,auto_win_rate,auto_expected_loss_wape_like,manual_rows,manual_share,manual_win_rate,manual_expected_loss_wape_like,auto_vs_manual_win_lift,delta_brier_vs_full,delta_logloss_vs_full,delta_auc_binned_vs_full,delta_auto_win_rate_vs_full,delta_auto_expected_loss_wape_like_vs_full,delta_auto_vs_manual_win_lift_vs_full
no_route_error_history,3305000,0.6680815314528621,0.6410559757942511,0.2338505574853595,0.6611770300026811,0.5331600764188383,0.03441323699570349,0.65,1975061,0.5975978819969743,0.660325427923492,0.02742286335152486,1329939,0.4024021180030257,0.6124393675198637,0.04699404767818985,0.047886060403628306,-0.0011916552601889396,-0.0032878119733812383,0.006495309838526198,0.004850142808859537,0.0010071093614584699,0.010800485045163621
full,3305000,0.6713033529768643,0.6410559757942511,0.23504221274554843,0.6644648419760624,0.5266647665803121,0.03441323699570349,0.65,2019977,0.6111881996974281,0.6554752851146325,0.02641575399006639,1285023,0.38881180030257184,0.6183897097561678,0.051664062086654035,0.037085575358464684,0.0,0.0,0.0,0.0,0.0,0.0
no_horizon,3305000,0.6709982597089661,0.6410559757942511,0.2353481716633288,0.6644128281357168,0.509514098698294,0.03441323699570349,0.65,2205386,0.6672877458396369,0.6413072360121992,0.02639233590673443,1099614,0.3327122541603631,0.6405520482642091,0.05797931511182127,0.0007551877479901048,0.00030595891778037454,-5.2013840345588314e-05,-0.017150667882018134,-0.0141680491024333,-2.3418083331960132e-05,-0.03633038761047458
no_office_error_history,3305000,0.6574918783864527,0.6410559757942511,0.23374364257135014,0.6609123914662589,0.5265895664395357,0.03441323699570349,0.65,1804846,0.5460956127080182,0.6614049065682058,0.025956798344545656,1500154,0.45390438729198185,0.6165740317327421,0.04766457172955762,0.044830874835463774,-0.0012985701741982936,-0.003552450509803462,-7.520014077644355e-05,0.005929621453573342,-0.00045895564552073456,0.00774529947699909
no_freshness,3305000,0.6548033567915615,0.6410559757942511,0.23431629940340634,0.6622524532434609,0.5266427816276972,0.03441323699570349,0.65,1764327,0.5338357034795764,0.6619266156443788,0.025322923312010245,1540673,0.4661642965204236,0.6171556196545276,0.048374110327353295,0.04477099598985124,-0.0007259133421420871,-0.0022123887326014335,-2.1984952614961806e-05,0.006451330529746335,-0.0010928306780561454,0.0076854206313865525
no_stability,3305000,0.6508776216032014,0.6410559757942511,0.23377921708609697,0.6608207209271548,0.5296860602425603,0.03441323699570349,0.65,1683416,0.5093543116490167,0.6664389550770576,0.02520602082629099,1621584,0.4906456883509834,0.6147051278256322,0.046672806138597804,0.05173382725142539,-0.0012629956594514546,-0.003644121048907545,0.0030212936622481257,0.010963669962425149,-0.0012097331637754005,0.014648251892960706
no_history_completeness,3305000,0.6493033384539536,0.6410559757942511,0.23419532769084497,0.6618243291213093,0.5266456231424838,0.03441323699570349,0.65,1678691,0.5079246596066566,0.664237194337731,0.024922854428437297,1626309,0.49207534039334344,0.6171281103406548,0.0474770050511421,0.04710908399707614,-0.0008468850547034557,-0.0026405128547530854,-1.9143437828383902e-05,0.008761909223098496,-0.0014928995616290928,0.010023508638611456
no_agreement_with_blend,3305000,0.632761429741911,0.6410559757942511,0.2323254012326729,0.6572030065149655,0.5417897532545664,0.03441323699570349,0.65,1408302,0.4261125567322239,0.6825311616400459,0.02443352514248515,1896698,0.5738874432677761,0.610260568630325,0.04455155557697643,0.07227059300972094,-0.0027168115128755332,-0.007261835461096822,0.015124986674254215,0.027055876525413414,-0.0019822288475812404,0.035185017651256256
no_empirical_win_rate,3305000,0.6148060410421212,0.6410559757942511,0.23234069072520613,0.6572246303975681,0.5237158591197926,0.03441323699570349,0.65,982484,0.2972720121028744,0.6729005256065239,0.021290675391371916,2322516,0.7027279878971255,0.6275849122245014,0.041562071441112174,0.0453156133820225,-0.002701522020342295,-0.007240211578494304,-0.0029489074605195675,0.017425240491891425,-0.005125078598694474,0.008230038023557817
